pitch,vel,dur,db(lab),db(audi),duration(lab),duration(audi),db(lab) - db(audi),dur(lab) - dur(audi)
40,1,0.7,62.062355,51.33538,0.72,0.11,10.726975,0.61
41,1,0.7,59.64164,50.37501,0.8,0.11,9.26663,0.69
42,1,0.7,55.932182,57.041653,0.76,0.62,-1.109471,0.14
43,1,0.7,59.93087,48.583405,0.56,0.11,11.347465,0.45
44,1,0.7,57.417263,56.966034,0.52,0.49,0.451229,0.03
45,1,0.7,60.36021,51.723152,0.77,0.11,8.637058,0.66
46,1,0.7,56.54371,52.933846,0.32,0.11,3.609864,0.21
47,1,0.7,59.242687,56.63023,0.74,0.48,2.612457,0.26
48,1,0.7,57.492527,57.92257,0.35,0.7,-0.430043,-0.35
49,1,0.7,58.75383,51.133995,0.48,0.12,7.619835,0.36
50,1,0.7,56.475636,58.940628,0.35,0.54,-2.464992,-0.19
51,1,0.7,65.31174,58.038322,0.76,0.63,7.273418,0.13
52,1,0.7,67.54512,59.40034,0.79,0.62,8.14478,0.17
53,1,0.7,68.51636,53.383644,0.79,0.33,15.132716,0.46
54,1,0.7,64.32788,57.45118,0.79,0.72,6.8767,0.07
55,1,0.7,68.33148,56.0828,0.72,0.71,12.24868,0.01
56,1,0.7,63.472515,57.33361,0.47,0.72,6.138905,-0.25
57,1,0.7,62.430206,57.929123,0.47,0.61,4.501083,-0.14
58,1,0.7,56.51762,56.072517,0.59,0.61,0.445103,-0.02
59,1,0.7,56.80062,54.61538,0.66,0.41,2.18524,0.25
60,1,0.7,54.83696,57.73627,0.3,0.23,-2.89931,0.07
61,1,0.7,60.262085,53.761616,0.36,0.25,6.500469,0.11
62,1,0.7,60.746296,52.981365,0.64,0.32,7.764931,0.32
63,1,0.7,61.895977,48.154648,0.54,0.11,13.741329,0.43
64,1,0.7,64.06708,49.078236,0.53,0.11,14.988844,0.42
65,1,0.7,59.430557,47.49857,0.45,0.11,11.931987,0.34
66,1,0.7,54.346157,51.02459,0.21,0.11,3.321567,0.1
67,1,0.7,59.925297,50.1036,0.68,0.11,9.821697,0.57
68,1,0.7,59.75814,41.707558,0.63,0.11,18.050582,0.52
69,1,0.7,56.149017,53.118164,0.29,0.11,3.030853,0.18
70,1,0.7,54.176872,46.24381,0.11,0.11,7.933062,0
71,1,0.7,57.07657,54.737907,0.4,0.32,2.338663,0.08
72,1,0.7,60.85553,51.68379,0.58,0.11,9.17174,0.47
73,1,0.7,61.679268,55.859734,0.38,0.11,5.819534,0.27
74,1,0.7,65.65849,51.54525,0.6,0.18,14.11324,0.42
75,1,0.7,56.3473,56.357956,0.49,0.26,-0.010656,0.23
76,1,0.7,52.47168,52.918247,0.12,0.11,-0.446567,0.01
77,1,0.7,53.68312,52.525486,0.22,0.13,1.157634,0.09
78,1,0.7,51.567802,52.38434,0.12,0.23,-0.816538,-0.11
79,1,0.7,51.106483,50.34276,0.26,0.14,0.763723,0.12
80,1,0.7,53.341797,47.96228,0.21,0.11,5.379517,0.1
81,1,0.7,54.15676,47.32894,0.28,0.11,6.82782,0.17
82,1,0.7,51.85888,44.17627,0.11,0.11,7.68261,0
83,1,0.7,52.39333,49.684143,0.11,0.11,2.709187,0
84,1,0.7,52.89344,41.952362,0.11,0.11,10.941078,0
85,1,0.7,51.680595,45.712418,0.11,0.11,5.968177,0
86,1,0.7,47.730583,43.761826,0.11,0.11,3.968757,0
87,1,0.7,47.01938,46.907787,0.11,0.11,0.111593,0
