,db(lab),db(audi),duration(lab),duration(audi),,
186,77.62724304,85.05419922,1,0.94,0.06,-7.426956177
187,77.97138977,84.85645294,1,1,0,-6.885063171
188,79.27851105,84.83715057,1,0.76,0.24,-5.558639526
189,77.42198944,85.03006744,1,0.85,0.15,-7.608078003
190,77.58158875,85.08372498,1,0.94,0.06,-7.50213623
191,78.03999329,84.92185974,1,1,0,-6.881866455
192,65.55671692,64.35284424,0.44,0.29,0.15,1.203872681
193,56.47093582,58.9743042,0.18,0.2,-0.02,-2.503368378
194,56.36156082,58.80289841,0.37,0.3,0.07,-2.441337585
195,55.45492935,59.17766953,0.34,0.37,-0.03,-3.722740173
196,55.64108658,62.19509506,0.15,0.17,-0.02,-6.554008484
197,55.45426559,58.0299263,0.18,0.2,-0.02,-2.575660706
198,56.39303589,58.96425247,0.34,0.3,0.04,-2.571216583
199,55.70864487,59.3803215,0.34,0.4,-0.06,-3.671676636
200,58.69647217,63.78155899,0.15,0.19,-0.04,-5.085086823
201,59.05632019,63.01633835,0.24,0.25,-0.01,-3.960018158
202,59.36223602,63.19118881,0.39,0.46,-0.07,-3.828952789
203,59.97538376,63.29579163,0.76,0.58,0.18,-3.320407867
204,62.6492157,66.6783371,0.23,0.23,0,-4.029121399
205,62.39530182,66.86347961,0.32,0.34,-0.02,-4.468177795
206,62.15958023,66.74703979,0.48,0.46,0.02,-4.587459564
207,63.2824173,66.61865234,0.9,0.8,0.1,-3.336235046
208,65.20336914,69.53723145,0.29,0.25,0.04,-4.333862305
209,65.45795441,69.48439789,0.38,0.38,0,-4.026443481
210,65.75657654,69.86476135,0.56,0.52,0.04,-4.108184814
211,65.52879333,69.2986908,0.87,0.87,0,-3.769897461
212,67.53720093,71.56365967,0.31,0.35,-0.04,-4.02645874
213,68.25631714,70.60795593,0.38,0.42,-0.04,-2.351638794
214,68.12598419,70.61784363,0.72,0.56,0.16,-2.491859436
215,68.3899231,70.02819061,1,0.94,0.06,-1.638267517
216,70.31558228,72.98310852,0.38,0.38,0,-2.667526245
217,70.25624084,72.75138855,0.51,0.48,0.03,-2.495147705
218,70.45654297,72.47801208,0.8,0.6,0.2,-2.021469116
219,70.47868347,72.46618652,1,0.96,0.04,-1.987503052
220,72.60734558,74.56374359,0.43,0.45,-0.02,-1.95639801
221,72.63648224,74.04381561,0.58,0.51,0.07,-1.407333374
222,72.63858032,74.15431213,0.79,0.62,0.17,-1.515731812
223,74.75856781,74.38150024,1,0.98,0.02,0.377067566
224,77.17384338,76.1681366,0.59,0.5,0.09,1.005706787
225,76.57098389,76.49284363,0.63,0.55,0.08,0.078140259
226,75.43513489,76.74302673,0.85,0.67,0.18,-1.307891846
227,75.3549881,76.69312286,1,1,0,-1.338134766
228,77.58763123,77.98457336,0.63,0.56,0.07,-0.396942139
229,77.43305969,78.37636566,0.72,0.62,0.1,-0.943305969
230,77.61964417,78.279953,0.82,0.73,0.09,-0.660308838
231,78.10209656,77.85978699,1,1,0,0.24230957
232,76.90142059,79.93556976,0.8,0.63,0.17,-3.03414917
233,78.88899994,79.76560211,0.76,0.66,0.1,-0.876602173
234,78.72769928,80.34166718,0.83,0.8,0.03,-1.613967896
235,80.49868774,79.927742,1,1,0,0.57094574
236,81.08413696,81.10749054,1,0.66,0.34,-0.023353577
237,80.85479736,81.6003418,0.82,0.73,0.09,-0.745544434
238,80.98014069,81.69789886,1,0.86,0.14,-0.717758179
239,79.14878082,81.36896515,1,1,0,-2.220184326
240,79.33203125,82.78096008,0.83,0.71,0.12,-3.448928833
241,81.1654892,82.51249695,0.9,0.79,0.11,-1.347007751
242,81.00886536,82.83198547,0.89,0.89,0,-1.823120117
243,81.13796997,82.87384796,1,1,0,-1.735877991
